hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506906576594068,1.050670880354607,1.0506692627480534,1.050798209951824,,1.0506676667730552,1.0507287580628848,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506148158776865,1.050594854202177,1.0505948663020084,1.0507796443179567,,1.0506690771205653,1.0507243017644803,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.05058987282408,1.0505698527417067,1.0505704110726781,1.0507740134108283,,1.0506728761434605,1.0507261680145148,1.0505006768270417,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505648406744845,1.0505446113261956,1.050545615327465,1.0507662651501708,,1.0506727257641668,1.0507240746245858,1.05050019930674,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507394889167683,,1.050666720420817,1.0507122294588578,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507352447463465,,1.0506663747364886,1.0507109114510562,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.05050199014063,,,1.0507439735591093,,1.0506676956132592,1.0507141674058809,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.050564651269158,1.0505443668641519,1.0505453338404676,1.0507652793007516,,1.0506708867929935,1.0507222160180694,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
