hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068512,15.625241782068512,0.0,18.7503236717592,18.7503236717592,0.0,12.50021771214404,12.50021771214404,0.0,16.250349249231206,16.250349249231206,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447021,14.375428037447021,0.0
7,46.87517293313687,-0.0,1.0,56.250221496230566,56.25,0.0,37.500148594787916,37.5,0.0,48.75022589866943,48.75,0.0,33.750124023076154,33.75,0.0,43.12526281682057,43.125,0.0
8,85.41682376226728,-0.0,1.0,102.5002024745861,102.5,0.0,68.3334686199959,68.33333333333334,0.0,88.83350891622982,88.83333333333331,0.0,61.50011267616818,61.5,0.0,78.58346712087132,78.58333333333333,0.0
9,109.37558653479047,-0.0,1.0,131.25076123380558,131.25,0.0,87.50050943057855,87.5,0.0,113.75069791503472,113.74999999999997,0.0,78.7504206740149,78.75,0.0,100.62562068033337,100.62499999999999,0.0
10,122.9174039920948,-0.0,1.0,147.50096294272316,147.5,0.0,98.333977986683,98.33333333333331,0.0,127.83422254172959,127.83333333333334,0.0,88.50052882619207,88.5,0.0,113.08412855631518,113.08333333333333,0.0
11,124.99991372149728,-0.0,1.0,149.99989250825146,149.9998925082515,0.0,99.99992748140994,99.99992748140994,0.0,129.99986489451874,129.99986489451874,0.0,89.9999381358505,89.9999381358505,0.0,114.9997782997138,114.99977829971378,0.0
12,114.57991021666504,-0.0,1.0,137.49549082550385,137.49549082550385,0.0,91.66364967441284,91.66364967441284,0.0,119.16262677260212,119.16262677260212,0.0,82.49754390540623,82.49754390540622,0.0,105.41321137265088,105.41321137265089,0.0
13,91.66746387249634,-0.0,1.0,110.00098623065156,109.99999999999997,0.0,73.33399740362384,73.33333333333333,0.0,95.33450439345981,95.33333333333336,0.0,66.0005712410553,66.0,0.0,84.33505976841339,84.33333333333333,0.0
14,62.50012755822278,3.447243359069269,0.944844216063857,75.00016315361067,74.9999960777396,0.0,50.00010947352597,49.99999736277703,0.0,65.00016879101929,64.9999955399049,0.0,45.00009147493438,44.999997757922245,0.0,57.500202778077636,57.49999366619601,0.0
15,28.124946733788857,28.124946733788857,0.0,33.74993128189027,33.74993128189027,0.0,22.499953910942125,22.499953910942125,0.0,29.249930911017834,29.249930911017834,0.0,20.249961802962808,20.249961802962808,0.0,25.87492279837511,25.87492279837511,0.0
16,3.1250322945706746,3.1250322945706746,0.0,3.750042140925493,3.750042140925493,0.0,2.5000282767683117,2.5000282767683117,0.0,3.2500425487061007,3.2500425487061007,0.0,2.2500231591521627,2.2500231591521627,0.0,2.875047132894247,2.875047132894247,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
