hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068512,15.625241782068512,0.0,18.7503236717592,18.7503236717592,0.0,12.50021771214404,12.50021771214404,0.0,16.250349249231206,16.250349249231206,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447021,14.375428037447021,0.0
7,46.87517293313687,18.450168691974127,0.6063978224324812,56.250221496230566,22.88061736570109,0.5932350355979051,37.500148594787916,15.429029434206289,0.5885608095576061,48.75022589866943,20.158752190756754,0.5864890071822247,33.750124023076154,13.934724868577213,0.5871207481008127,43.12526281682057,17.92669888958255,0.5843109060825425
8,85.41699509578216,37.55092298682923,0.5603810774807283,102.50042170914827,46.484554030473156,0.5464939636955051,68.33361542991221,31.33049837255441,0.5415067355317547,88.83371838145632,40.931698448415126,0.5392323342090858,61.50023555732899,28.298102062908477,0.5398699682915588,78.583681220178,36.40468879056407,0.5367397308826767
9,109.37601259366954,43.6879640330115,0.6005708289109878,131.25131013746795,54.300514439296954,0.5862858618534761,87.5008766990287,36.65226369477923,0.5811211192925357,113.75120210857385,47.92084716740371,0.5787221971997372,78.75072623557068,33.12599908095346,0.5793562141373032,100.6260821285418,42.66314732848292,0.5760228480712692
10,122.91832384587056,50.00812600822671,0.5931596562374046,147.50215552840345,62.164258300554756,0.578553494392389,98.33477598952041,41.96403266930761,0.5732533188558134,127.83531261961483,54.87128817290167,0.5707657117979819,88.50118853266284,37.93158043233605,0.5714002665912246,113.08509808576127,48.8612629669899,0.5679246935463376
11,125.00095737393735,69.709644370159,0.4423270602591993,150.0012358178999,85.82476914647904,0.4278395235422598,100.00082626346341,57.742377984564435,0.42258092705492256,130.00109893205297,75.38622164852003,0.4201107981976753,90.00068661974173,52.133875631213925,0.4207390765249402,115.00090904494135,67.01257395877236,0.4172864107901878
12,114.58396791829972,73.20258742179317,0.36114453966998594,137.50081187565215,89.79738288864195,0.34693192071993306,91.66720993554307,60.33645544821877,0.3417879622423967,119.16742087516398,78.72298927075487,0.33939159484307696,82.50045510759725,54.448757249093035,0.3400186491865979,105.41738641317863,69.92506150056516,0.33668362581713335
13,91.66698462445729,67.05849280388739,0.2684552874937837,110.00040473647692,81.99419199906174,0.25460093512894244,73.33360464247181,55.02819854780137,0.24961818726942314,95.33373737436717,71.75417809211613,0.2473368976344695,66.00022802392903,49.63423805696334,0.24796863117240023,84.33378934611513,63.68696975367811,0.24482247091417414
14,62.50020224605282,51.12744475343385,0.1819634744499391,75.0002600373511,62.36435631670132,0.1684780689912366,50.000174517844215,41.81674354070741,0.1636679841285858,65.00026936388049,54.50191004266548,0.16151246724334473,45.00014503917245,37.70339305645435,0.1621494636874135,57.500322452220885,48.34571205359315,0.1592095927507746
15,28.12494776039276,28.12494776039276,0.0,33.74993264251279,33.74993264251279,0.0,22.499954825209237,22.499954825209237,0.0,29.249932336862635,29.249932336862635,0.0,20.249962539182974,20.249962539182974,0.0,25.874924472584226,25.874924472584226,0.0
16,3.125032294596358,3.125032294596358,0.0,3.750042140958882,3.750042140958882,0.0,2.5000282767907094,2.5000282767907094,0.0,3.2500425487395805,3.2500425487395805,0.0,2.25002315917058,2.25002315917058,0.0,2.8750471329309977,2.8750471329309977,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
