hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.050690596311843,1.0506707730482774,1.0506691246115187,1.0507974957944095,,1.0506662789612824,1.050727362995994,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506147670880812,1.0505948879753724,1.0505949553216412,1.0507807462095407,,1.0506713186772079,1.0507265412778684,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505896934138244,1.050569588233944,1.0505700894267536,1.0507726169672005,,1.0506702057269108,1.0507234779302104,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505646595882911,1.0505444047343535,1.0505453915077914,1.0507657031710198,,1.0506717304404145,1.050723061377735,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.050739928714181,,1.0506677148945387,1.0507132115049669,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507349370882704,,1.050665870212571,1.050710392707737,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505019028968352,,,1.0507441882633601,,1.0506681922614094,1.050714656563495,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505646230756245,1.0505443944795692,1.0505453988090194,1.0507660303895017,,1.0506724130356375,1.050723741368582,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
