hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506906109297405,1.050670800227736,1.050669160215522,1.0507976885133308,,1.0506666547575183,1.0507277405691695,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.050614803718574,1.050594840529205,1.050594851604689,1.0507796092573651,,1.0506690153977745,1.0507242388364546,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505897992298554,1.05056959414651,1.0505700285238677,1.050771335812688,,1.0506675627141076,1.0507208417770721,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.05056474511834,1.0505442542169134,1.0505450829754253,1.0507624883424878,,1.0506652232105869,1.0507165547227322,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507414406539932,,1.0506705754716215,1.0507160965330926,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507361023556534,,1.0506680883679247,1.0507126280290333,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505018607138301,,,1.0507415468359667,,1.050662923106755,1.0507093774575877,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505646358889418,1.05054442332321,1.0505454383986796,1.0507662697028166,,1.0506728835130879,1.0507242135641401,1.0505004162433011,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
