hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068512,15.625241782068512,0.0,18.7503236717592,18.7503236717592,0.0,12.50021771214404,12.50021771214404,0.0,16.250349249231206,16.250349249231206,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447021,14.375428037447021,0.0
7,46.87517293313687,18.61656406956319,0.602848037542058,56.250221496230566,22.921835003297264,0.592502246903585,37.500148594787916,15.481335540840464,0.5871659512264399,48.75022589866943,20.13155181869795,0.5870469196895914,33.750124023076154,13.764232247532373,0.5921723328190822,43.12526281682057,17.815542567425307,0.5868883730660004
8,85.4169951835115,37.76369215885461,0.5578900824506678,102.50042182299924,46.50469541301432,0.5462974088245542,68.33361550646671,31.40982521315692,0.5403458040053035,88.83371850555443,40.87413459822218,0.5398802600781691,61.500235620248716,27.97946767135111,0.545050946702838,78.58368138197022,36.21947713094316,0.5390965020494826
9,109.37601310477916,43.856617468068166,0.5990288168023001,131.25131079088757,54.29578728986202,0.5863218189256968,87.50087713617727,36.760411438825486,0.5798850968194208,113.75120271145519,47.88275526563715,0.5790569900714881,78.75072660212736,32.74787341046579,0.5841577127098435,100.626082698693,42.51932947956681,0.5774519620584213
10,122.91832475882173,19.74024025273495,0.839403563466713,147.50215670576648,70.69074305827988,0.5207476106283982,98.3347767771465,47.285138223312245,0.5191411226819936,127.83531369216502,61.26580451488742,0.5207441264349846,88.50118918741761,42.0122915920397,0.525291107225979,113.08509904362478,54.07459360016411,0.5218236319133577
11,125.00095292362516,69.85159761731869,0.4411913637217005,150.0012293895279,85.86688253413817,0.42755867903422795,100.00082190058114,57.93245233831985,0.42068010576183174,130.00109041304836,75.44763165948942,0.41963828371639295,90.00068342815132,51.76426211404704,0.4248457813233353,115.00089561432192,66.97571221596172,0.4176067100257588
12,114.58396778267675,73.4152949321109,0.35928813683581173,137.50081169880983,89.88317696278914,0.34630790458173155,91.66720981717798,60.528710817900006,0.33969057883584736,119.16742071271898,78.78413221560275,0.3388784177239355,82.50045501033186,54.10667388983637,0.3441650340094292,105.41738626804344,69.84755106613913,0.33741873095900754
13,91.66698437003416,67.30899929013147,0.265722442444124,110.00040441486037,82.06444894084976,0.25396217556206047,73.33360442743486,55.15417587309378,0.24790025721029565,95.33373708087281,71.745460630715,0.24742825090573922,66.0002278414651,49.32287558850588,0.2526861713291276,84.33378907349125,63.52884652165223,0.24669728932403373
14,62.500202384307045,51.34325755776753,0.17851042812954396,75.00026022049671,62.4245174479868,0.1676758650838059,50.00017464108202,41.896386337696924,0.16207507442450148,65.000269565776,54.47897035441216,0.1618653067961249,45.00014513832716,37.480902426660364,0.16709363140731331,57.50032271332255,48.208838644062105,0.1615898667333971
15,28.12494777047005,28.12494777047005,0.0,33.74993265576542,33.74993265576542,0.0,22.499954834109623,22.499954834109623,0.0,29.24993235059052,29.24993235059052,0.0,20.24996254640969,20.24996254640969,0.0,25.874924488489178,25.874924488489178,0.0
16,3.1250322945966147,3.1250322945966147,0.0,3.7500421409592146,3.7500421409592146,0.0,2.500028276790932,2.500028276790932,0.0,3.250042548739909,3.250042548739909,0.0,2.2500231591707642,2.2500231591707642,0.0,2.8750471329313547,2.8750471329313547,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
