hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.050594980095696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0506393917986803,1.050519127112027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506905652471648,1.0506706930154914,1.050669011762072,1.0507967743424311,,1.0506648563310894,1.0507259359049226,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506146441515363,1.0505945328187887,1.0505944445520579,1.050777351199327,,1.0506646041560288,1.0507198078274342,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505895596918169,1.0505691902899152,1.0505695144259835,1.050768760393735,,1.0506625725667353,1.0507158237748162,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505676868760816,1.0505471817073875,1.0505480032880665,1.0507656051780287,,1.0506693380731775,1.050720946832995,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.050740316483653,,1.0506684823705628,1.0507139811733404,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.050736630520749,,1.0506692293985223,1.050713760661876,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505018782121982,,,1.0507436936124215,,1.050667218162709,1.050713679062051,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.050564600633087,1.0505443430836914,1.0505453280045527,1.0507655989240534,,1.0506715642944966,1.0507228895848655,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
