arquitetura,cenario,hora,agente,barra,potencia_disponivel_kw,potencia_gerada_kw,potencia_cortada_kw,fracao_de_curtailment_rho,tensao_inicial_pu,tensao_final_pu,tensao_maxima_barras_pv_pu,tensao_maxima_rede_pu,posicao_no_grafo,eh_lider,particao_final,razao_de_curtailment_r,iteracoes,status,violacao_real_apos_controle,sigma_r_global_hora,sigma_r_por_particao_hora
sem_controle,sem_controle,0,pv1,824,-0.0,-0.0,0.0,0.0,1.0435191673339033,1.0435191673339033,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,0,pv2,816,-0.0,-0.0,0.0,0.0,1.0450262948633384,1.0450262948633384,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,0,pv3,828,-0.0,-0.0,0.0,0.0,1.0433881517951473,1.0433881517951473,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,0,pv4,830,-0.0,-0.0,0.0,0.0,1.0402417834114022,1.0402417834114022,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,0,pv5,850,-0.0,-0.0,0.0,0.0,1.0450761113146874,1.0450761113146874,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,0,pv6,832,-0.0,-0.0,0.0,0.0,1.035054528358762,1.035054528358762,1.0450761113146874,1.0505970659065018,,,,,,,,,
sem_controle,sem_controle,1,pv1,824,-0.0,-0.0,0.0,0.0,1.0435194971179793,1.0435194971179793,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,1,pv2,816,-0.0,-0.0,0.0,0.0,1.045026590394128,1.045026590394128,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,1,pv3,828,-0.0,-0.0,0.0,0.0,1.043388484707053,1.043388484707053,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,1,pv4,830,-0.0,-0.0,0.0,0.0,1.0402421909746449,1.0402421909746449,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,1,pv5,850,-0.0,-0.0,0.0,0.0,1.0450764055625177,1.0450764055625177,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,1,pv6,832,-0.0,-0.0,0.0,0.0,1.035055078078631,1.035055078078631,1.0450764055625177,1.0505970903489996,,,,,,,,,
sem_controle,sem_controle,2,pv1,824,-0.0,-0.0,0.0,0.0,1.0434413812534848,1.0434413812534848,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,2,pv2,816,-0.0,-0.0,0.0,0.0,1.044957170134863,1.044957170134863,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,2,pv3,828,-0.0,-0.0,0.0,0.0,1.0433096369965245,1.0433096369965245,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,2,pv4,830,-0.0,-0.0,0.0,0.0,1.0401456464219776,1.0401456464219776,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,2,pv5,850,-0.0,-0.0,0.0,0.0,1.0450072554978005,1.0450072554978005,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,2,pv6,832,-0.0,-0.0,0.0,0.0,1.0349271785104097,1.0349271785104097,1.0450072554978005,1.050594980095696,,,,,,,,,
sem_controle,sem_controle,3,pv1,824,-0.0,-0.0,0.0,0.0,1.0434413052741978,1.0434413052741978,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,3,pv2,816,-0.0,-0.0,0.0,0.0,1.0449571021647743,1.0449571021647743,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,3,pv3,828,-0.0,-0.0,0.0,0.0,1.0433095603397917,1.0433095603397917,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,3,pv4,830,-0.0,-0.0,0.0,0.0,1.04014555352833,1.04014555352833,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,3,pv5,850,-0.0,-0.0,0.0,0.0,1.045007187805771,1.045007187805771,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,3,pv6,832,-0.0,-0.0,0.0,0.0,1.034927055347267,1.034927055347267,1.045007187805771,1.0505949776249721,,,,,,,,,
sem_controle,sem_controle,4,pv1,824,-0.0,-0.0,0.0,0.0,1.0435194219130088,1.0435194219130088,1.0450763385661972,1.0505970879234297,,,,,,,,,
sem_controle,sem_controle,4,pv2,816,-0.0,-0.0,0.0,0.0,1.0450265231229214,1.0450265231229214,1.0450763385661972,1.0505970879234297,,,,,,,,,
sem_controle,sem_controle,4,pv3,828,-0.0,-0.0,0.0,0.0,1.043388408831456,1.043388408831456,1.0450763385661972,1.0505970879234297,,,,,,,,,
sem_controle,sem_controle,4,pv4,830,-0.0,-0.0,0.0,0.0,1.040242099025251,1.040242099025251,1.0450763385661972,1.0505970879234297,,,,,,,,,
sem_controle,sem_controle,4,pv5,850,-0.0,-0.0,0.0,0.0,1.0450763385661972,1.0450763385661972,1.0450763385661972,1.0505970879234297,,,,,,,,,
sem_controle,sem_controle,4,pv6,832,-0.0,-0.0,0.0,0.0,1.035054956170033,1.035054956170033,1.0450763385661972,1.0505970879234297,,,,,,,,,
