arquitetura,cenario,iteracoes_de_comunicacao,iteracoes_com_algum_enlace_fora,mensagens_tentadas,mensagens_entregues,mensagens_perdidas,taxa_de_perda_percentual,maior_idade_da_informacao_iteracoes,minimo_lambda_2
leader_follower,C0,1457,0,17484,17484,0,0.0,0,0.6570769172228301
leader_follower,C1,1481,1481,17772,14810,2962,16.666666666666668,0,0.2679491924311227
leader_follower,C2,3647,3647,43764,36470,7294,16.666666666666668,500,0.0
leader_follower,C3_lider_curta,1461,20,17532,17492,40,0.22815423226100845,20,0.0
leader_follower,C3_lider_longa,1794,500,21528,20528,1000,4.645113340765515,500,0.0
leader_follower,C3_naolider_curta,1457,20,17484,17444,40,0.22878059940517045,20,0.0
leader_follower,C3_naolider_longa,1457,163,17484,17158,326,1.864561885152139,163,0.0
leaderless,C0,530,0,6360,6360,0,0.0,0,0.6570769172228301
leaderless,C1,537,537,6444,5370,1074,16.666666666666668,0,0.2679491924311227
leaderless,C2,524,524,6288,5240,1048,16.666666666666668,117,0.0
leaderless,C3_lider_curta,530,20,6360,6320,40,0.6289308176100629,20,0.0
leaderless,C3_lider_longa,528,52,6336,6232,104,1.6414141414141414,52,0.0
leaderless,C3_naolider_curta,530,20,6360,6320,40,0.6289308176100629,20,0.0
leaderless,C3_naolider_longa,528,52,6336,6232,104,1.6414141414141414,52,0.0
