arquitetura,cenario,hora,iteracoes_de_comunicacao,iteracoes_com_algum_enlace_fora,mensagens_tentadas,mensagens_entregues,mensagens_perdidas,taxa_de_perda_percentual,maior_idade_da_informacao_iteracoes,minimo_lambda_2
leader_follower,C0,7,311,0,3732,3732,0,0.0,0,0.6570769172228301
leader_follower,C0,8,205,0,2460,2460,0,0.0,0,0.6570769172228301
leader_follower,C0,9,177,0,2124,2124,0,0.0,0,0.6570769172228301
leader_follower,C0,10,163,0,1956,1956,0,0.0,0,0.6570769172228301
leader_follower,C0,11,148,0,1776,1776,0,0.0,0,0.6570769172228301
leader_follower,C0,12,147,0,1764,1764,0,0.0,0,0.6570769172228301
leader_follower,C0,13,151,0,1812,1812,0,0.0,0,0.6570769172228301
leader_follower,C0,14,155,0,1860,1860,0,0.0,0,0.6570769172228301
leader_follower,C1,7,313,313,3756,3130,626,16.666666666666668,0,0.2679491924311227
leader_follower,C1,8,209,209,2508,2090,418,16.666666666666668,0,0.2679491924311227
leader_follower,C1,9,181,181,2172,1810,362,16.666666666666668,0,0.2679491924311227
leader_follower,C1,10,167,167,2004,1670,334,16.666666666666668,0,0.2679491924311227
leader_follower,C1,11,152,152,1824,1520,304,16.666666666666668,0,0.2679491924311227
leader_follower,C1,12,150,150,1800,1500,300,16.666666666666668,0,0.2679491924311227
leader_follower,C1,13,153,153,1836,1530,306,16.666666666666668,0,0.2679491924311227
leader_follower,C1,14,156,156,1872,1560,312,16.666666666666668,0,0.2679491924311227
leader_follower,C2,7,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,8,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,9,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,10,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,11,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,12,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,13,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C2,14,147,147,1764,1470,294,16.666666666666668,147,0.0
leader_follower,C3_lider_curta,7,311,0,3732,3732,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,8,205,0,2460,2460,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,9,177,0,2124,2124,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,10,167,20,2004,1964,40,1.996007984031936,20,0.0
leader_follower,C3_lider_curta,11,148,0,1776,1776,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,12,147,0,1764,1764,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,13,151,0,1812,1812,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_curta,14,155,0,1860,1860,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,7,311,0,3732,3732,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,8,205,0,2460,2460,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,9,177,0,2124,2124,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,10,500,500,6000,5000,1000,16.666666666666668,500,0.0
leader_follower,C3_lider_longa,11,148,0,1776,1776,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,12,147,0,1764,1764,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,13,151,0,1812,1812,0,0.0,0,0.6570769172228301
leader_follower,C3_lider_longa,14,155,0,1860,1860,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,7,311,0,3732,3732,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,8,205,0,2460,2460,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,9,177,0,2124,2124,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,10,163,20,1956,1916,40,2.044989775051125,20,0.0
leader_follower,C3_naolider_curta,11,148,0,1776,1776,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,12,147,0,1764,1764,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,13,151,0,1812,1812,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_curta,14,155,0,1860,1860,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,7,311,0,3732,3732,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,8,205,0,2460,2460,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,9,177,0,2124,2124,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,10,163,163,1956,1630,326,16.666666666666668,163,0.0
leader_follower,C3_naolider_longa,11,148,0,1776,1776,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,12,147,0,1764,1764,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,13,151,0,1812,1812,0,0.0,0,0.6570769172228301
leader_follower,C3_naolider_longa,14,155,0,1860,1860,0,0.0,0,0.6570769172228301
leaderless,C0,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C0,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C0,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C0,10,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C0,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C0,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C0,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C0,14,68,0,816,816,0,0.0,0,0.6570769172228301
leaderless,C1,7,113,113,1356,1130,226,16.666666666666668,0,0.2679491924311227
leaderless,C1,8,72,72,864,720,144,16.666666666666668,0,0.2679491924311227
leaderless,C1,9,60,60,720,600,120,16.666666666666668,0,0.2679491924311227
leaderless,C1,10,55,55,660,550,110,16.666666666666668,0,0.2679491924311227
leaderless,C1,11,53,53,636,530,106,16.666666666666668,0,0.2679491924311227
leaderless,C1,12,55,55,660,550,110,16.666666666666668,0,0.2679491924311227
leaderless,C1,13,61,61,732,610,122,16.666666666666668,0,0.2679491924311227
leaderless,C1,14,68,68,816,680,136,16.666666666666668,0,0.2679491924311227
leaderless,C2,7,117,117,1404,1170,234,16.666666666666668,117,0.0
leaderless,C2,8,69,69,828,690,138,16.666666666666668,69,0.0
leaderless,C2,9,57,57,684,570,114,16.666666666666668,57,0.0
leaderless,C2,10,52,52,624,520,104,16.666666666666668,52,0.0
leaderless,C2,11,51,51,612,510,102,16.666666666666668,51,0.0
leaderless,C2,12,53,53,636,530,106,16.666666666666668,53,0.0
leaderless,C2,13,58,58,696,580,116,16.666666666666668,58,0.0
leaderless,C2,14,67,67,804,670,134,16.666666666666668,67,0.0
leaderless,C3_lider_curta,7,112,0,1344,1344,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,8,71,0,852,852,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,9,59,0,708,708,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,10,54,20,648,608,40,6.172839506172839,20,0.0
leaderless,C3_lider_curta,11,52,0,624,624,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,12,54,0,648,648,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,13,60,0,720,720,0,0.0,0,0.6570769172228301
leaderless,C3_lider_curta,14,68,0,816,816,0,0.0,0,0.6570769172228301
