arquitetura,cenario,agente,barra,energia_disponivel_kwh,energia_gerada_kwh,energia_cortada_kwh,curtailment_percentual
sem_controle,sem_controle,pv1,824,966.2496411121682,966.2496411121682,0.0,0.0
sem_controle,sem_controle,pv2,816,805.208056236961,805.208056236961,0.0,0.0
sem_controle,sem_controle,pv3,828,644.1664131875673,644.1664131875673,0.0,0.0
sem_controle,sem_controle,pv4,830,837.415615648658,837.415615648658,0.0,0.0
sem_controle,sem_controle,pv5,850,579.7498014101783,579.7498014101783,0.0,0.0
sem_controle,sem_controle,pv6,832,740.7889530186947,740.7889530186947,0.0,0.0
leader_follower,C0,pv2,816,805.2138390823923,457.6665825062399,347.5472565761524,43.16210672337812
leader_follower,C0,pv1,824,966.2571205838968,562.030107342428,404.2270132414687,41.83431145088995
leader_follower,C0,pv3,828,644.1714334153137,377.7729425946185,266.3984908206952,41.35521648457536
leader_follower,C0,pv4,830,837.4233104149001,492.95945027545474,344.4638601394454,41.133779756952464
leader_follower,C0,pv5,850,579.7539486629001,340.93467574857596,238.8192729143242,41.193211959162774
leader_follower,C0,pv6,832,740.7979318184467,437.91334633036496,302.88458548808177,40.88626229619552
leader_follower,C1,pv2,816,805.2138396064767,445.8881844469223,359.32565515955446,44.62487323058974
leader_follower,C1,pv1,824,966.2571210567575,549.3549318437623,416.90218921299515,43.14609229032595
leader_follower,C1,pv3,828,644.1714336784108,375.3252956769121,268.8461380014988,41.735184757620694
leader_follower,C1,pv4,830,837.4233081586192,497.99598637347515,339.42732178514416,40.532347079220784
leader_follower,C1,pv5,850,579.7539490389893,349.8399033990202,229.9140456399691,39.657176293680934
leader_follower,C1,pv6,832,740.797923119015,450.42955945521896,290.368363663796,39.196703257650206
leader_follower,C2,pv2,816,805.2076234015989,50.32246416949731,754.8851592321016,93.75037410141373
leader_follower,C2,pv1,824,966.248977959938,966.2456765060699,0.0033014538680760097,0.00034167734645851214
leader_follower,C2,pv3,828,644.1659885648724,644.1637744184543,0.0022141464181473225,0.00034372296231910437
leader_follower,C2,pv4,830,837.4161428322186,837.4128099159809,0.003332916237766881,0.00039799999872162136
leader_follower,C2,pv5,850,579.7494893038386,579.7476381463198,0.0018511575187503126,0.0003193030011933563
leader_follower,C2,pv6,832,740.7921293619124,740.7883813072771,0.0037480546354942135,0.000505952275535464
leader_follower,C3_lider_curta,pv2,816,805.2138384682639,457.6705729063726,347.5432655618913,43.16161110979082
leader_follower,C3_lider_curta,pv1,824,966.2571197938612,562.0609429421409,404.1961768517203,41.83112016167606
leader_follower,C3_lider_curta,pv3,828,644.1714328867157,377.79980050628353,266.37163238043223,41.35104706316222
leader_follower,C3_lider_curta,pv4,830,837.4233096886124,492.9982091683672,344.4251005202453,41.129151354565984
leader_follower,C3_lider_curta,pv5,850,579.7539482224586,340.96082952187925,238.79311870057927,41.18870072946041
leader_follower,C3_lider_curta,pv6,832,740.7979311507199,437.9515148851905,302.8464162655294,40.88110988580952
leader_follower,C3_lider_longa,pv2,816,805.2127948155337,407.66251923360574,397.55027558192796,49.37207631841007
leader_follower,C3_lider_longa,pv1,824,966.2557764838461,647.3967144993535,318.8590619844927,32.99944691092084
leader_follower,C3_lider_longa,pv3,828,644.1705341044175,434.1691175309238,210.00141657349366,32.60028291506008
leader_follower,C3_lider_longa,pv4,830,837.4220756507608,565.9602362221128,271.4618394286479,32.4163701103407
leader_follower,C3_lider_longa,pv5,850,579.7531997383592,391.5292979519603,188.2239017863988,32.46621180725586
leader_follower,C3_lider_longa,pv6,832,740.7968004052393,502.1735445325589,238.62325587268046,32.21170174360175
leader_follower,C3_naolider_curta,pv2,816,805.213839082686,457.66658039606386,347.5472586866222,43.16210698546291
leader_follower,C3_naolider_curta,pv1,824,966.2571205842748,562.0300925214726,404.2270280628021,41.834312984764836
leader_follower,C3_naolider_curta,pv3,828,644.1714334155665,377.7729297332165,266.39850368235005,41.355218481179
leader_follower,C3_naolider_curta,pv4,830,837.4233104152474,492.95943178295266,344.4638786322949,41.13378196523905
leader_follower,C3_naolider_curta,pv5,850,579.7539486631109,340.9346633026933,238.8192853604176,41.1932141059367
leader_follower,C3_naolider_curta,pv6,832,740.7979318187658,437.9133282874336,302.8846035313323,40.886264731828675
leader_follower,C3_naolider_longa,pv2,816,805.2138428125356,443.755112818743,361.4587299937926,44.88978092220217
leader_follower,C3_naolider_longa,pv1,824,966.2571237133267,545.2123043511332,421.04481936219344,43.57482175594401
leader_follower,C3_naolider_longa,pv3,828,644.171435143562,366.57485205169644,277.5965830918657,43.09358781641717
leader_follower,C3_naolider_longa,pv4,830,837.4232952360597,478.32677253617555,359.0965226998842,42.881124127154735
leader_follower,C3_naolider_longa,pv5,850,579.7539513375187,330.69439143540234,249.05955990211646,42.959527800979146
leader_follower,C3_naolider_longa,pv6,832,740.7978737881731,502.17353409109546,238.62433969707763,32.21180137529807
leaderless,C0,pv2,816,805.2138412641019,459.14779801754173,346.0660432465601,42.97815381604376
leaderless,C0,pv1,824,966.2571233945449,562.3232460434597,403.9338773510852,41.80397407390183
leaderless,C0,pv3,828,644.1714352967599,378.73106601978503,265.4403692769748,41.20647932094202
leaderless,C0,pv4,830,837.4233130443824,492.9186498434224,344.5046632009602,41.13865208129235
leaderless,C0,pv5,850,579.7539502275924,338.42679148046363,241.3271587471288,41.62578946678874
leaderless,C0,pv6,832,740.7979343499388,436.98351863813934,303.8144157117994,41.01177954530895
leaderless,C1,pv2,816,805.21384162772,448.05059916778436,357.16324245993553,44.35632176142661
leaderless,C1,pv1,824,966.2571236820073,551.9859814184462,414.27114226356116,42.87379954156972
leaderless,C1,pv3,828,644.171435437574,376.64928814140205,267.5221472961719,41.52965073877406
leaderless,C1,pv4,830,837.4233106961308,497.2715676196125,340.1517430765183,40.618852942337845
leaderless,C1,pv5,850,579.7539504886245,345.7959928030516,233.95795768557292,40.354698314412516
leaderless,C1,pv6,832,740.7979257064533,448.72580345051983,292.07212225593355,39.426692775550414
leaderless,C2,pv2,816,805.2138250282285,259.94929409242764,545.2645309358008,67.71673734199553
leaderless,C2,pv1,824,966.2570999338449,617.3945082236214,348.86259171022334,36.104530743847405
leaderless,C2,pv3,828,644.1714193472984,412.59694366404096,231.5744756832575,35.94920058978998
leaderless,C2,pv4,830,837.4232804251515,535.0764403015287,302.3468401236229,36.104422600972406
leaderless,C2,pv5,850,579.7539385846407,367.88534121720886,211.86859736743176,36.54457232057255
leaderless,C2,pv6,832,740.7978799303714,472.2452771030248,268.5526028273467,36.25180499336584
leaderless,C3_lider_curta,pv2,816,805.2138411035278,459.06342907523566,346.1504120282922,42.988631635280974
leaderless,C3_lider_curta,pv1,824,966.2571231848007,562.3000049740842,403.9571182107165,41.80637932885469
leaderless,C3_lider_curta,pv3,828,644.1714351559094,378.73501175390925,265.43642340200023,41.205866779509776
leaderless,C3_lider_curta,pv4,830,837.4233128270254,492.94948892267905,344.4738239043463,41.134969450689205
leaderless,C3_lider_curta,pv5,850,579.7539501124314,338.45450548509234,241.29944462733906,41.62100915061363
leaderless,C3_lider_curta,pv6,832,740.7979340918753,437.0661885207992,303.731745571076,41.000619952242815
leaderless,C3_lider_longa,pv2,816,805.2138352880276,428.77148519368467,376.4423500943428,46.75060631064395
leaderless,C3_lider_longa,pv1,824,966.2571150080626,570.9023851187012,395.35472988936135,40.916100254129816
leaderless,C3_lider_longa,pv3,828,644.171429623899,383.94863660619023,260.2227930177087,40.39651264410164
leaderless,C3_lider_longa,pv4,830,837.4233027288219,499.36076520622566,338.0625375225962,40.36937310210832
leaderless,C3_lider_longa,pv5,850,579.7539459417516,342.92873803104493,236.82520791070667,40.849261927145335
leaderless,C3_lider_longa,pv6,832,740.7979192691553,442.31529088478214,298.48262838437313,40.292044648133654
leaderless,C3_naolider_curta,pv2,816,805.2138411842162,458.84590671556975,346.36793446864647,43.01564587603813
leaderless,C3_naolider_curta,pv1,824,966.2571232794933,562.1981880503891,404.0589352291041,41.816916584037294
leaderless,C3_naolider_curta,pv3,828,644.1714352175363,378.67968578383056,265.49174943370576,41.21445548793224
leaderless,C3_naolider_curta,pv4,830,837.4233128298943,492.9560045071654,344.4673083227289,41.134191399410035
leaderless,C3_naolider_curta,pv5,850,579.7539501702979,338.52025154692143,241.23369862337648,41.6096688176969
leaderless,C3_naolider_curta,pv6,832,740.7979338915677,437.33466896639834,303.4632649251694,40.964377874410765
leaderless,C3_naolider_longa,pv2,816,805.2138430264063,447.92521610717654,357.2886269192298,44.37189325711988
leaderless,C3_naolider_longa,pv1,824,966.2571242840769,548.5363793103386,417.7207449737382,43.23080621871094
leaderless,C3_naolider_longa,pv3,828,644.1714355899402,369.5656886425172,274.605746947423,42.629295832705715
leaderless,C3_naolider_longa,pv4,830,837.4232989464183,480.8001202408031,356.62317870561515,42.58577223183198
leaderless,C3_naolider_longa,pv5,850,579.753951491012,329.7797388918843,249.97421259912772,43.117293458068495
leaderless,C3_naolider_longa,pv6,832,740.7978849757852,490.1636029331276,250.63428204265756,33.83301803714655
