arquitetura,cenario,sigma_r_diario_por_energia,sigma_r_global_hora_pico,sigma_r_por_particao_hora_pico
leader_follower,C0,0.007579635114484569,0.008286432836998007,[0.008286]
leader_follower,C1,0.019220371667312476,0.022671992544084366,[0.022672]
leader_follower,C2,0.34938559305065753,0.37267553302570217,"[0.0, 0.0]"
leader_follower,C3_lider_curta,0.007595114043245423,0.008387833871388452,[0.008388]
leader_follower,C3_lider_longa,0.06277948326180002,0.37267249533029384,[0.372672]
leader_follower,C3_naolider_curta,0.007579627859896487,0.0082863853155312,[0.008286]
leader_follower,C3_naolider_longa,0.04254041871270075,0.2579433533675139,"[0.00763, 0.0]"
leaderless,C0,0.006646746232440721,0.0077318478935806114,[0.007732]
leaderless,C1,0.016547532425673913,0.023715534159606148,[0.023716]
leaderless,C2,0.11750417286951913,0.11847206299999943,"[0.0, 0.002058]"
leaderless,C3_lider_curta,0.006705780278399896,0.008129308747673744,[0.008129]
leaderless,C3_lider_longa,0.02317812543437166,0.11847205463629995,"[0.0, 0.002058]"
leaderless,C3_naolider_curta,0.006851787893457718,0.009168103798792971,[0.009168]
leaderless,C3_naolider_longa,0.03535477284570494,0.2138258508743379,"[0.006598, 0.0]"
