arquitetura,cenario,tensao_maxima_barras_pv_dia_pu,tensao_maxima_rede_dia_pu,horas_com_violacao_barras_pv,tensao_maxima_barras_pv_hora_pico_pu
sem_controle,sem_controle,1.0650792320748368,1.0650792320748368,8,1.0650792320748368
leader_follower,C0,1.0504989670073046,1.0507974957944095,0,1.0504919948970808
leader_follower,C1,1.0504998653253068,1.050798209951824,0,1.0504994043677744
leader_follower,C2,1.0608520426612322,1.0608520426612322,8,1.0608520426612322
leader_follower,C3_lider_curta,1.0504989670073046,1.0507974957944095,0,1.0504980178406222
leader_follower,C3_lider_longa,1.0608520426612322,1.0608520426612322,1,1.0608520426612322
leader_follower,C3_naolider_curta,1.0504989670073046,1.0507974957944095,0,1.05049199201485
leader_follower,C3_naolider_longa,1.0504989670073046,1.0507974957944095,0,1.050491036588138
leaderless,C0,1.0504977861724876,1.0507967743424311,0,1.0504824306221754
leaderless,C1,1.0504996215540172,1.0507976885133308,0,1.0504889674692404
leaderless,C2,1.0504998956697016,1.0507974619454474,0,1.050488284855326
leaderless,C3_lider_curta,1.0504977861724876,1.0507967743424311,0,1.0504839425460841
leaderless,C3_lider_longa,1.0504977861724876,1.0507967743424311,0,1.0504882848443888
leaderless,C3_naolider_curta,1.0504977861724876,1.0507967743424311,0,1.0504831653567674
leaderless,C3_naolider_longa,1.0504977861724876,1.0507967743424311,0,1.0504947243916922
