arquitetura,cenario,tensao_maxima_barras_pv_dia_pu,tensao_maxima_rede_dia_pu,horas_com_violacao_barras_pv,energia_disponivel_kwh,energia_cortada_kwh,curtailment_percentual_dia,sigma_r_diario_por_energia,tensao_maxima_barras_pv_hora_pico_pu,curtailment_percentual_816,curtailment_percentual_824,curtailment_percentual_828,curtailment_percentual_830,curtailment_percentual_832,curtailment_percentual_850,horas_com_controle_ativo,horas_nao_convergidas,iteracoes_totais_no_dia,iteracoes_hora_pico,status_hora_pico,sigma_r_global_hora_pico,sigma_r_por_particao_hora_pico,barras_hora_com_sobretensao_no_dia,barras_hora_com_subtensao_no_dia
sem_controle,sem_controle,1.0650792320748368,1.0650792320748368,8,4573.578480614227,0.0,0.0,0.0,1.0650792320748368,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,170,85
leader_follower,C0,1.0504989670073046,1.0507974957944095,0,4573.61758397785,1904.340479180168,41.637510006332676,0.007579635114484569,1.0504919948970808,43.16210672337813,41.834311450889956,41.355216484575365,41.133779756952464,40.886262296195525,41.19321195916277,8.0,0.0,1457.0,163.0,convergiu,0.008286432836998007,[0.008286],50,85
leader_follower,C1,1.0504998653253068,1.050798209951824,0,4573.6175746582685,1904.7837134629578,41.64720120057872,0.019220371667312476,1.0504994043677744,44.62487323058974,43.14609229032595,41.735184757620694,40.532347079220784,39.19670325765021,39.657176293680934,8.0,0.0,1481.0,167.0,convergiu,0.022671992544084366,[0.022672],52,85
leader_follower,C2,1.0608520426612322,1.0608520426612322,8,4573.580351424379,754.8996069607799,16.50565965733338,0.34938559305065753,1.0608520426612322,93.75037410141374,0.00034167734645851214,0.00034372296231910437,0.00039799999872162136,0.0005059522755354639,0.0003193030011933563,8.0,7.0,3647.0,500.0,nao_convergiu,0.37267553302570217,"[0.0, 0.0]",145,85
leader_follower,C3_lider_curta,1.0504989670073046,1.0507974957944095,0,4573.617580210632,1904.1757102803977,41.6339074460332,0.007595114043245423,1.0504980178406222,43.161611109790826,41.83112016167606,41.35104706316221,41.12915135456599,40.88110988580953,41.18870072946041,8.0,0.0,1461.0,167.0,convergiu,0.008387833871388452,[0.008388],50,85
leader_follower,C3_lider_longa,1.0608520426612322,1.0608520426612322,1,4573.611181198157,1624.7197512276414,35.52378387360008,0.06277948326180002,1.0608520426612322,49.372076318410066,32.99944691092083,32.60028291506008,32.4163701103407,32.21170174360175,32.46621180725586,8.0,1.0,1794.0,500.0,nao_convergiu,0.37267249533029384,[0.372672],73,85
leader_follower,C3_naolider_curta,1.0504989670073046,1.0507974957944095,0,4573.617583979652,1904.340557955819,41.637511728708866,0.007579627859896487,1.05049199201485,43.16210698546292,41.83431298476484,41.35521848117899,41.13378196523904,40.88626473182867,41.1932141059367,8.0,0.0,1457.0,163.0,convergiu,0.0082863853155312,[0.008286],50,85
leader_follower,C3_naolider_longa,1.0504989670073046,1.0507974957944095,0,4573.617522031176,1906.8805547469299,41.69304813009529,0.04254041871270075,1.050491036588138,44.88978092220218,43.57482175594401,43.093587816417156,42.88112412715473,32.21180137529807,42.95952780097914,8.0,0.0,1457.0,163.0,convergiu,0.2579433533675139,"[0.00763, 0.0]",50,85
leaderless,C0,1.0504977861724876,1.0507967743424311,0,4573.61759757732,1905.0865275345086,41.65382187928539,0.006646746232440721,1.0504824306221754,42.97815381604376,41.803974073901834,41.20647932094202,41.13865208129234,41.011779545308954,41.625789466788746,8.0,0.0,530.0,54.0,convergiu,0.0077318478935806114,[0.007732],50,85
leaderless,C1,1.0504996215540172,1.0507976885133308,0,4573.6175876385105,1905.1383550376934,41.654955153812296,0.016547532425673913,1.0504889674692404,44.356321761426614,42.87379954156971,41.52965073877406,40.618852942337845,39.42669277555041,40.354698314412516,8.0,0.0,537.0,55.0,convergiu,0.023715534159606148,[0.023716],51,85
leaderless,C2,1.0504998956697016,1.0507974619454474,0,4573.617443249535,1908.4696386476828,41.727793422348924,0.11750417286951913,1.050488284855326,67.71673734199551,36.1045307438474,35.94920058978998,36.104422600972406,36.25180499336584,36.54457232057255,8.0,0.0,524.0,52.0,convergiu,0.11847206299999943,"[0.0, 0.002058]",51,85
leaderless,C3_lider_curta,1.0504977861724876,1.0507967743424311,0,4573.617596475569,1905.0489677437702,41.65300066214108,0.006705780278399896,1.0504839425460841,42.98863163528096,41.80637932885468,41.20586677950977,41.1349694506892,41.00061995224283,41.62100915061363,8.0,0.0,530.0,54.0,convergiu,0.008129308747673744,[0.008129],50,85
leaderless,C3_lider_longa,1.0504977861724876,1.0507967743424311,0,4573.617547859718,1905.3902468190888,41.66046301162064,0.02317812543437166,1.0504882848443888,46.75060631064396,40.91610025412982,40.39651264410165,40.36937310210833,40.292044648133654,40.84926192714533,8.0,0.0,528.0,52.0,convergiu,0.11847205463629995,"[0.0, 0.002058]",50,85
leaderless,C3_naolider_curta,1.0504977861724876,1.0507967743424311,0,4573.617596573005,1905.0828910027312,41.653742377373284,0.006851787893457718,1.0504831653567674,43.01564587603812,41.816916584037294,41.21445548793224,41.13419139941003,40.964377874410765,41.60966881769691,8.0,0.0,530.0,54.0,convergiu,0.009168103798792971,[0.009168],50,85
leaderless,C3_naolider_longa,1.0504977861724876,1.0507967743424311,0,4573.617538313639,1906.8467921877914,41.69230977916169,0.03535477284570494,1.0504947243916922,44.37189325711988,43.23080621871094,42.629295832705715,42.58577223183199,33.83301803714655,43.11729345806849,8.0,0.0,528.0,52.0,convergiu,0.2138258508743379,"[0.006598, 0.0]",50,85
