2026-09-25 12:25:21.475 | ==============================================================================
2026-09-25 12:25:21.475 | CASO leaderless x C0_perda_0.05: topologia nominal, canal probabilistico com perda 0.05 por mensagem
2026-09-25 12:25:21.475 | Grafo nominal: (1,2) (2,3) (3,4) (4,5) (5,6) (2,5) | agentes: 1(816) 2(824) 3(828) 4(830) 5(850) 6(832)
2026-09-25 12:25:21.476 | [t=00:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.477 | [t=01:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.478 | [t=02:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.481 | [t=03:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.482 | [t=04:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.483 | [t=05:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.484 | [t=06:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000001 1(816) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056254 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000002 2(824) -> 1(816) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000003 2(824) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000004 2(824) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000005 3(828) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000006 3(828) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000007 4(830) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000008 4(830) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000009 5(850) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000010 5(850) -> 6(832) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 12:25:21.485 | [t_sim=07:00:00.000 k=000] MSG #0000011 5(850) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
