hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506906110708154,1.0506708191351835,1.050669191688458,1.0507979514656278,,1.0506671807444619,1.0507282671451479,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506147540699273,1.0505948541579868,1.0505949075647716,1.0507804398501728,,1.0506707141265537,1.0507259348425184,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505897179267027,1.0505696731440244,1.050570214804308,1.0507734916689015,,1.0506719411421608,1.0507252175718291,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505646483458608,1.050544385651185,1.0505453671645366,1.0507655805113632,,1.0506714926934504,1.0507228223212017,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507407383527134,,1.050669324171337,1.0507148245665447,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507371304328952,,1.0506702208192684,1.050714754714864,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505019231987773,,,1.0507448805958999,,1.0506695663625158,1.0507160341185846,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505646290427992,1.050544416164867,1.0505454310257694,1.0507662576111256,,1.05067286424738,1.0507241936440195,1.0505003893816414,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
