hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506906576594066,1.0506708803546068,1.0506692627480534,1.050798209951824,,1.050667666773055,1.050728758062885,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506148158776865,1.050594854202177,1.0505948663020084,1.0507796443179565,,1.050669077120565,1.0507243017644796,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.05058987282408,1.0505698527417064,1.0505704110726781,1.0507740134108283,,1.05067287614346,1.0507261680145146,1.0505006768270415,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505648406744843,1.0505446113261956,1.0505456153274653,1.0507662651501712,,1.0506727257641675,1.0507240746245867,1.0505001993067413,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507394889167678,,1.0506667204208169,1.0507122294588571,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.050735244746347,,1.0506663747364897,1.050710911451057,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.05050199014063,,,1.050743973559109,,1.050667695613259,1.0507141674058804,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.050564651269158,1.050544366864152,1.0505453338404676,1.0507652793007511,,1.0506708867929933,1.050722216018069,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
