hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068514,15.625241782068514,0.0,18.7503236717592,18.7503236717592,0.0,12.500217712144039,12.500217712144039,0.0,16.250349249231203,16.250349249231203,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447017,14.375428037447017,0.0
7,46.87517293313687,18.450168691972003,0.6063978224325267,56.25022149623055,22.88061736569861,0.5932350355979492,37.5001485947879,15.429029434204608,0.5885608095576509,48.75022589866941,20.15875219075454,0.58648900718227,33.75012402307615,13.934724868575668,0.5871207481008585,43.12526281682057,17.92669888958053,0.5843109060825895
8,85.41699509578214,37.55092298680244,0.5603810774810416,102.50042170914824,46.48455403046071,0.5464939636956262,68.3336154299122,31.330498372552842,0.5415067355317771,88.8337183814563,40.93169844841596,0.5392323342090761,61.500235557328985,28.29810206290744,0.5398699682915752,78.58368122017801,36.40468879056532,0.5367397308826609
9,109.37601259366951,43.68796403281948,0.6005708289127432,131.25131013746793,54.30051443905839,0.5862858618552933,87.50087669902865,36.65226369462953,0.5811211192942461,113.7512021085738,47.92084716722778,0.5787221972012834,78.75072623557065,33.125999080835705,0.5793562141387981,100.62608212854175,42.66314732836232,0.5760228480724673
10,122.91832384587059,-0.0,1.0,147.50215552840342,147.49999999999997,0.0,98.33477598952038,98.33333333333331,0.0,127.83531261961477,127.83333333333331,0.0,88.50118853266282,88.5,0.0,113.08509808576126,113.08333333333331,0.0
11,124.99991372149726,69.70971670560732,0.442321825438335,149.99989250825143,85.8247990042517,0.4278342005622242,99.99992748140993,57.74239434518513,0.4225755737060262,129.99986489451874,75.38620354184268,0.42010543282035834,89.99993813585051,52.13392449362886,0.420733716189341,114.99977829971377,67.01253323978702,0.4172810352879334
12,114.58396791800953,73.20258742175028,0.36114453966874205,137.50081187528562,89.79738288859105,0.34693192071856216,91.66720993529833,60.336455448187095,0.3417879622409848,119.16742087484661,78.7229892707173,0.33939159484163256,82.50045510738912,54.4487572490749,0.34001864918515257,105.41738641292561,69.92506150055519,0.3366836258156356
13,91.66698462445727,67.05849280388911,0.2684552874937647,110.0004047364769,81.99419199906362,0.25460093512892534,73.3336046424718,55.028198547802475,0.24961818726940782,95.33373737436717,71.75417809211751,0.2473368976344551,66.00022802392903,49.634238056964314,0.24796863117238557,84.33378934611513,63.68696975367925,0.2448224709141608
14,62.50020224605284,51.1274447534344,0.18196347444993005,75.00026003735111,62.364356316702086,0.16847806899122642,50.00017451784423,41.81674354070793,0.1636679841285751,65.0002693638805,54.50191004266613,0.16151246724333443,45.000145039172466,37.70339305645482,0.16214946368740302,57.50032245222092,48.34571205359373,0.15920959275076454
15,28.12494776039275,28.12494776039275,0.0,33.74993264251279,33.74993264251279,0.0,22.499954825209244,22.499954825209244,0.0,29.24993233686265,29.24993233686265,0.0,20.249962539182967,20.249962539182967,0.0,25.874924472584233,25.874924472584233,0.0
16,3.125032294596359,3.125032294596359,0.0,3.7500421409588838,3.7500421409588838,0.0,2.50002827679071,2.50002827679071,0.0,3.250042548739581,3.250042548739581,0.0,2.25002315917058,2.25002315917058,0.0,2.875047132930998,2.875047132930998,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
