hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.050690603785766,1.0506708090957428,1.0506691797979069,1.050797904512319,,1.050667091671622,1.0507281772930168,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.050614670594595,1.0505946258639838,1.0505945822204348,1.0507783148886507,,1.0506665160423294,1.0507217243074567,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505896739980993,1.0505695636782206,1.0505700614125912,1.0507725228982536,,1.0506700310560402,1.0507233012567265,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505645385767746,1.0505440719476653,1.0505449167948204,1.0507625959600104,,1.0506655888048322,1.0507169015771647,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507407846327816,,1.0506694226407096,1.0507149224634444,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507342469862007,,1.0506645152064675,1.050709032457724,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.050501876230082,,,1.050743838090346,,1.0506675096122733,1.050713970665199,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505645663290573,1.050544247052975,1.050545190607011,1.0507646943524214,,1.0506697756763712,1.0507210957653144,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
