hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068514,15.625241782068514,0.0,18.7503236717592,18.7503236717592,0.0,12.500217712144039,12.500217712144039,0.0,16.250349249231203,16.250349249231203,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447017,14.375428037447017,0.0
7,46.87517293313687,-0.0,1.0,56.25022149623055,27.850888683740006,0.5048749967760187,37.5001485947879,18.62541995352743,0.5033240592468884,48.75022589866941,24.13745321941023,0.504874996735499,33.75012402307615,16.55611642605241,0.5094501661129037,43.12526281682057,21.281581403431353,0.5065169919728738
8,85.41699346518497,11.751629891821528,0.8624204417304804,102.50041941949496,53.55456379802688,0.4775184763606645,68.33361387716843,35.816078644220624,0.4758643019617087,88.83371535408527,46.41398285378065,0.477518246136695,61.500234387825934,31.84346309313779,0.48222198306867153,78.58367639025136,40.919097638330385,0.47929244787162006
9,109.37601591009282,15.094524721130455,0.8619941663599329,131.25131436260227,62.29974626809751,0.5253399002677325,87.50087951917129,41.67651950699919,0.5237015864396941,113.75120565646515,53.99334386138233,0.5253381186128943,78.75072861463713,37.01474082310922,0.5299757842676176,100.6260843886754,47.6216879464815,0.5267458586291142
10,122.91832914626221,19.74023668733049,0.8394035982053216,147.5021623613681,70.69074394694631,0.5207476229793387,98.3347805630928,47.285138827269854,0.5191411350534635,127.8353189639235,61.26580546276094,0.5207441387840238,88.50119233510547,42.01229199445408,0.5252911195627515,113.08510372160751,54.074594474810056,0.5218236439595844
11,125.00095292362363,38.136388592320344,0.6949111711231892,150.00122938952586,94.68647032364663,0.3687619385497229,100.00082190057975,63.28855304606029,0.3671195701501401,130.00109041304611,82.0618053521491,0.36876049113839765,90.00068342815021,56.39726600209055,0.373368375536673,115.00089561431906,72.43039557070873,0.37017510421318806
12,114.583962849234,44.82702785987667,0.6087844031627021,137.50080462156444,97.80260238456478,0.28871241661921376,91.66720501089034,65.35637940193398,0.2870254093554548,119.16741112710633,84.76234570225033,0.2887118911259453,82.50045147199242,58.291439664009836,0.29344087438202543,105.41737084397744,74.79984140986957,0.2904407530398208
13,91.66697903854069,45.49025682892329,0.5037442834465389,110.00039698784232,88.17481262752825,0.1984135835343251,73.33359939886299,58.90999706211859,0.19668466764626272,95.3337276439776,76.41821406520504,0.19841350735736868,66.00022401754184,52.58235587943738,0.20330024576957162,84.33377478643825,67.43553103689382,0.20037311262775157
14,62.50019715704533,38.03400790684108,0.3914577217637716,75.00025314872,66.08438204486521,0.11887776814873612,50.000169876114555,44.138656615451396,0.11722975361666306,65.00026155862572,57.27316597558851,0.11887776734220928,45.00014138927447,39.437508417676376,0.12361357526494675,57.50031211035716,50.55714836485099,0.12074978649449125
15,28.124947528448686,28.124947528448686,0.0,33.7499323337855,33.7499323337855,0.0,22.49995461770049,22.49995461770049,0.0,29.249932011289033,29.249932011289033,0.0,20.24996237284462,20.24996237284462,0.0,25.874924087554874,25.874924087554874,0.0
16,3.125032294590623,3.125032294590623,0.0,3.7500421409514004,3.7500421409514004,0.0,2.5000282767856894,2.5000282767856894,0.0,3.2500425487320377,3.2500425487320377,0.0,2.250023159166468,2.250023159166468,0.0,2.8750471329226617,2.8750471329226617,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
