hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506910451331357,1.0506711826194066,1.0506695083202544,1.0507974619454468,,1.050665909998787,1.0507270354717195,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506152577283911,1.0505950809286264,1.0505949493433784,1.0507771299264554,,1.0506637275975304,1.0507189871408165,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0505902837412087,1.0505699567500297,1.0505703098843124,1.0507701736148871,,1.0506648850544174,1.0507182058248772,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505652566408823,1.0505447205151601,1.05054551939107,1.050762429339678,,1.050664730884445,1.0507161089428163,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507356544711008,,1.0506586871782437,1.0507042270026128,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507328039009873,,1.0506611391882128,1.0507057094623613,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0505024841370798,,,1.0507466595322128,,1.0506727111193912,1.050719234013303,1.0505006486974857,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0505648724088466,1.0505445063683938,1.050545418847281,1.0507643828647444,,1.05066892786264,1.050720275237158,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
