hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068514,15.625241782068514,0.0,18.7503236717592,18.7503236717592,0.0,12.500217712144039,12.500217712144039,0.0,16.250349249231203,16.250349249231203,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447017,14.375428037447017,0.0
7,46.87517293313687,18.61656406957986,0.6028480375417025,56.25022149623055,22.921835003325622,0.592502246903081,37.5001485947879,15.481335540859565,0.5871659512259305,48.75022589866941,20.13155181872286,0.5870469196890805,33.75012402307615,13.764232247544683,0.5921723328187174,43.12526281682057,17.81554256744698,0.586888373065498
8,85.41699518351156,37.76369215885982,0.5578900824506071,102.5004218229993,46.50469541302022,0.546297408824497,68.33361550646674,31.409825213160943,0.540345804005245,88.83371850555443,40.87413459822744,0.53988026007811,61.500235620248745,27.979467671355017,0.5450509467027748,78.58368138197022,36.219477130947766,0.539096502049424
9,109.37601310477916,43.85661746808266,0.5990288168021676,131.25131079088754,54.29578728987616,0.5863218189255889,87.50087713617727,36.760411438833685,0.5798850968193269,113.75120271145519,47.882755265647305,0.5790569900713987,78.75072660212736,32.74787341047341,0.5841577127097466,100.62608269869301,42.519329479576,0.5774519620583298
10,122.91832475882163,49.81466359013807,0.5947335057078853,147.5021567057664,61.98654767418027,0.5797582249066255,98.33477677714646,42.016188533531356,0.572722856167606,127.83531369216493,54.86104364816759,0.570845756904474,88.50118918741757,37.6038065433571,0.575103813361469,113.08509904362477,49.09396822184483,0.5658667593049275
11,125.00095881980785,69.85159580181076,0.44119140460413286,150.00123766095123,85.86688084993585,0.42755872182789817,100.00082749421337,57.93245120574691,0.4206801494922015,130.00110051411514,75.44763182715742,0.41963832752064556,90.00068765669334,51.764260678611386,0.4248458242952027,115.00091023673184,66.97571567590705,0.41760675399100067
12,114.58396778268272,73.41529493210297,0.359288136835912,137.50081169881724,89.88317696278116,0.34630790458182115,91.66720981718294,60.52871081789566,0.3396905788359267,119.16742071272458,78.78413221559632,0.33887841772401334,82.50045501033615,54.10667388983266,0.34416503400950604,105.4173862680459,69.84755106613103,0.33741873095908426
13,91.66698437003414,67.30899929013395,0.2657224424440966,110.00040441486036,82.06444894085253,0.2539621755620351,73.33360442743486,55.154175873095454,0.2479002572102729,95.33373708087281,71.74546063071719,0.24742825090571657,66.0002278414651,49.3228755885073,0.25268617132910615,84.33378907349126,63.52884652165419,0.24669728932401097
14,62.500202384307,51.34325755776803,0.1785104281295353,75.00026022049668,62.424517447987064,0.16767586508380233,50.00017464108199,41.896386337697045,0.16207507442449856,65.00026956577598,54.478970354412425,0.16186530679612104,45.00014513832714,37.480902426660755,0.16709363140730424,57.50032271332255,48.20883864406236,0.16158986673339323
15,28.12494777047007,28.12494777047007,0.0,33.74993265576544,33.74993265576544,0.0,22.499954834109634,22.499954834109634,0.0,29.24993235059054,29.24993235059054,0.0,20.249962546409698,20.249962546409698,0.0,25.874924488489185,25.874924488489185,0.0
16,3.1250322945966156,3.1250322945966156,0.0,3.7500421409592146,3.7500421409592146,0.0,2.5000282767909323,2.5000282767909323,0.0,3.250042548739909,3.250042548739909,0.0,2.250023159170765,2.250023159170765,0.0,2.875047132931354,2.875047132931354,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
