hora,800,802,806,808,810,812,812r,814,816,818,820,822,824,826,828,830,832,834,836,838,840,842,844,846,848,850,852,852r,854,856,858,860,862,864
0,1.0505970659065016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0505970903489994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0505949800956955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0505949776249717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0505970879234294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.05063939179868,1.0505191271120267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0506384889471005,1.050565999119799,1.0505296461306293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0506905652471648,1.0506706930154912,1.050669011762072,1.0507967743424314,,1.0506648563310896,1.0507259359049228,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0506146441515367,1.0505945328187887,1.0505944445520579,1.0507773511993275,,1.0506646041560295,1.050719807827435,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.050589559691817,1.0505691902899152,1.0505695144259835,1.0507687603937348,,1.050662572566735,1.0507158237748155,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0505645022255847,1.050543876332569,1.0505446144892354,1.0507603208198812,,1.0506610538979673,1.0507123581696982,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,1.0507403164231834,,1.0506684822496237,1.0507139810522068,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,1.0507366305200148,,1.0506692293970712,1.0507137606604195,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.050501878212198,,,1.0507436936124213,,1.0506672181627092,1.0507136790620513,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.050564600633087,1.0505443430836912,1.0505453280045531,1.0507655989240539,,1.0506715642944966,1.0507228895848655,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
