origin,destination,send_step,delivery_step,status,delay_steps,arquitetura,cenario,hora
0,1,0,1.0,delivered,1,leader_follower,C0,7
1,0,0,1.0,delivered,1,leader_follower,C0,7
1,2,0,1.0,delivered,1,leader_follower,C0,7
2,1,0,1.0,delivered,1,leader_follower,C0,7
1,4,0,1.0,delivered,1,leader_follower,C0,7
4,1,0,1.0,delivered,1,leader_follower,C0,7
2,3,0,1.0,delivered,1,leader_follower,C0,7
3,2,0,1.0,delivered,1,leader_follower,C0,7
3,4,0,1.0,delivered,1,leader_follower,C0,7
4,3,0,1.0,delivered,1,leader_follower,C0,7
4,5,0,1.0,delivered,1,leader_follower,C0,7
5,4,0,1.0,delivered,1,leader_follower,C0,7
0,1,1,2.0,delivered,1,leader_follower,C0,7
1,0,1,2.0,delivered,1,leader_follower,C0,7
1,2,1,2.0,delivered,1,leader_follower,C0,7
2,1,1,2.0,delivered,1,leader_follower,C0,7
1,4,1,2.0,delivered,1,leader_follower,C0,7
4,1,1,2.0,delivered,1,leader_follower,C0,7
2,3,1,2.0,delivered,1,leader_follower,C0,7
3,2,1,2.0,delivered,1,leader_follower,C0,7
3,4,1,2.0,delivered,1,leader_follower,C0,7
4,3,1,2.0,delivered,1,leader_follower,C0,7
4,5,1,2.0,delivered,1,leader_follower,C0,7
5,4,1,2.0,delivered,1,leader_follower,C0,7
0,1,2,3.0,delivered,1,leader_follower,C0,7
1,0,2,3.0,delivered,1,leader_follower,C0,7
1,2,2,3.0,delivered,1,leader_follower,C0,7
2,1,2,3.0,delivered,1,leader_follower,C0,7
1,4,2,3.0,delivered,1,leader_follower,C0,7
4,1,2,3.0,delivered,1,leader_follower,C0,7
2,3,2,3.0,delivered,1,leader_follower,C0,7
3,2,2,3.0,delivered,1,leader_follower,C0,7
3,4,2,3.0,delivered,1,leader_follower,C0,7
4,3,2,3.0,delivered,1,leader_follower,C0,7
4,5,2,3.0,delivered,1,leader_follower,C0,7
5,4,2,3.0,delivered,1,leader_follower,C0,7
0,1,3,4.0,delivered,1,leader_follower,C0,7
1,0,3,4.0,delivered,1,leader_follower,C0,7
1,2,3,4.0,delivered,1,leader_follower,C0,7
2,1,3,4.0,delivered,1,leader_follower,C0,7
1,4,3,4.0,delivered,1,leader_follower,C0,7
4,1,3,4.0,delivered,1,leader_follower,C0,7
2,3,3,4.0,delivered,1,leader_follower,C0,7
3,2,3,4.0,delivered,1,leader_follower,C0,7
3,4,3,4.0,delivered,1,leader_follower,C0,7
4,3,3,4.0,delivered,1,leader_follower,C0,7
4,5,3,4.0,delivered,1,leader_follower,C0,7
5,4,3,4.0,delivered,1,leader_follower,C0,7
0,1,4,5.0,delivered,1,leader_follower,C0,7
1,0,4,5.0,delivered,1,leader_follower,C0,7
1,2,4,5.0,delivered,1,leader_follower,C0,7
2,1,4,5.0,delivered,1,leader_follower,C0,7
1,4,4,5.0,delivered,1,leader_follower,C0,7
4,1,4,5.0,delivered,1,leader_follower,C0,7
2,3,4,5.0,delivered,1,leader_follower,C0,7
3,2,4,5.0,delivered,1,leader_follower,C0,7
3,4,4,5.0,delivered,1,leader_follower,C0,7
4,3,4,5.0,delivered,1,leader_follower,C0,7
4,5,4,5.0,delivered,1,leader_follower,C0,7
5,4,4,5.0,delivered,1,leader_follower,C0,7
0,1,5,6.0,delivered,1,leader_follower,C0,7
1,0,5,6.0,delivered,1,leader_follower,C0,7
