arquitetura,cenario,horas_com_controle_ativo,horas_nao_convergidas,iteracoes_totais_no_dia,iteracoes_hora_pico,status_hora_pico
leader_follower,C1,8.0,0.0,1481.0,167.0,convergiu
leader_follower,C2,8.0,7.0,3647.0,500.0,nao_convergiu
leader_follower,C3_lider_curta,8.0,0.0,1461.0,167.0,convergiu
leader_follower,C3_lider_longa,8.0,1.0,1794.0,500.0,nao_convergiu
leader_follower,C3_naolider_curta,8.0,0.0,1457.0,163.0,convergiu
leader_follower,C3_naolider_longa,8.0,0.0,1457.0,163.0,convergiu
leader_follower,C0,8.0,0.0,1959.0,220.0,convergiu
leader_follower,C0_perda_0.05,8.0,0.0,1986.0,223.0,convergiu
leader_follower,C0_perda_0.10,8.0,0.0,2013.0,226.0,convergiu
leader_follower,C0_perda_0.20,8.0,0.0,2083.0,235.0,convergiu
leaderless,C1,8.0,0.0,537.0,55.0,convergiu
leaderless,C2,8.0,0.0,524.0,52.0,convergiu
leaderless,C3_lider_curta,8.0,0.0,530.0,54.0,convergiu
leaderless,C3_lider_longa,8.0,0.0,528.0,52.0,convergiu
leaderless,C3_naolider_curta,8.0,0.0,530.0,54.0,convergiu
leaderless,C3_naolider_longa,8.0,0.0,528.0,52.0,convergiu
leaderless,C0,8.0,0.0,717.0,73.0,convergiu
leaderless,C0_perda_0.05,8.0,0.0,726.0,74.0,convergiu
leaderless,C0_perda_0.10,8.0,0.0,735.0,75.0,convergiu
leaderless,C0_perda_0.20,8.0,0.0,763.0,79.0,convergiu
