arquitetura,cenario,agente,barra,energia_disponivel_kwh,energia_gerada_kwh,energia_cortada_kwh,curtailment_percentual
sem_controle,sem_controle,pv1,824,966.2496411121683,966.2496411121683,0.0,0.0
sem_controle,sem_controle,pv2,816,805.208056236961,805.208056236961,0.0,0.0
sem_controle,sem_controle,pv3,828,644.1664131875674,644.1664131875674,0.0,0.0
sem_controle,sem_controle,pv4,830,837.4156156486581,837.4156156486581,0.0,0.0
sem_controle,sem_controle,pv5,850,579.7498014101783,579.7498014101783,0.0,0.0
sem_controle,sem_controle,pv6,832,740.7889530186947,740.7889530186947,0.0,0.0
leader_follower,C1,pv2,816,805.2138396064767,445.8881844468159,359.3256551596608,44.62487323060296
leader_follower,C1,pv1,824,966.2571210567573,549.3549318436636,416.90218921309383,43.14609229033617
leader_follower,C1,pv3,828,644.1714336784108,375.32529567685725,268.8461380015535,41.735184757629185
leader_follower,C1,pv4,830,837.4233081586192,497.99598637341114,339.4273217852081,40.53234707922842
leader_follower,C1,pv5,850,579.7539490389893,349.8399033989772,229.91404564001206,39.657176293688345
leader_follower,C1,pv6,832,740.797923119015,450.4295594551648,290.36836366385006,39.196703257657504
leader_follower,C2,pv2,816,805.207623401599,50.32246416950217,754.8851592320968,93.75037410141313
leader_follower,C2,pv1,824,966.2489779599381,966.2456765060698,0.003301453868147064,0.0003416773464658657
leader_follower,C2,pv3,828,644.1659885648724,644.1637744184543,0.002214146418154428,0.00034372296232020743
leader_follower,C2,pv4,830,837.4161428322187,837.4128099159809,0.0033329162377810917,0.0003979999987233183
leader_follower,C2,pv5,850,579.7494893038386,579.7476381463198,0.001851157518757418,0.00031930300119458187
leader_follower,C2,pv6,832,740.7921293619127,740.7883813072772,0.003748054635522635,0.0005059522755393004
leader_follower,C3_lider_curta,pv2,816,805.2138384682639,457.6705729061589,347.54326556210503,43.16161110981736
leader_follower,C3_lider_curta,pv1,824,966.2571197938611,562.0609429418954,404.19617685196556,41.83112016170145
leader_follower,C3_lider_curta,pv3,828,644.1714328867156,377.7998005061355,266.3716323805801,41.35104706318518
leader_follower,C3_lider_curta,pv4,830,837.4233096886123,492.998209168196,344.4251005204163,41.12915135458642
leader_follower,C3_lider_curta,pv5,850,579.7539482224583,340.96082952176323,238.79311870069523,41.188700729480416
leader_follower,C3_lider_curta,pv6,832,740.7979311507199,437.9515148850743,302.84641626564564,40.88110988582522
leader_follower,C3_lider_longa,pv2,816,805.2127948155336,407.66251923333266,397.5502755822009,49.37207631844397
leader_follower,C3_lider_longa,pv1,824,966.2557764838461,647.396714499057,318.85906198478904,32.999446910951505
leader_follower,C3_lider_longa,pv3,828,644.1705341044174,434.1691175307469,210.0014165736705,32.60028291508754
leader_follower,C3_lider_longa,pv4,830,837.4220756507608,565.9602362219086,271.4618394288521,32.41637011036509
leader_follower,C3_lider_longa,pv5,850,579.7531997383592,391.52929795182104,188.22390178653802,32.46621180727987
leader_follower,C3_lider_longa,pv6,832,740.7968004052393,502.1735445324189,238.62325587282032,32.21170174362064
leader_follower,C3_naolider_curta,pv2,816,805.213839082686,457.66658039584973,347.54725868683636,43.162106985489515
leader_follower,C3_naolider_curta,pv1,824,966.2571205842747,562.0300925212262,404.2270280630485,41.83431298479034
leader_follower,C3_naolider_curta,pv3,828,644.1714334155665,377.77292973306726,266.3985036824992,41.35521848120216
leader_follower,C3_naolider_curta,pv4,830,837.4233104152474,492.95943178277946,344.4638786324681,41.133781965259736
leader_follower,C3_naolider_curta,pv5,850,579.7539486631109,340.9346633025759,238.819285360535,41.19321410595695
leader_follower,C3_naolider_curta,pv6,832,740.7979318187661,437.9133282873152,302.8846035314508,40.88626473184466
leader_follower,C3_naolider_longa,pv2,816,805.2138428125356,443.7551128185387,361.45872999399694,44.88978092222755
leader_follower,C3_naolider_longa,pv1,824,966.2571237133263,545.2123043508969,421.04481936242945,43.57482175596845
leader_follower,C3_naolider_longa,pv3,828,644.1714351435619,366.5748520515539,277.5965830920081,43.09358781643928
leader_follower,C3_naolider_longa,pv4,830,837.4232952360596,478.32677253601133,359.09652270004835,42.88112412717434
leader_follower,C3_naolider_longa,pv5,850,579.7539513375186,330.6943914352912,249.05955990222748,42.9595278009983
leader_follower,C3_naolider_longa,pv6,832,740.797873788173,502.17353409098473,238.62433969718828,32.211801375313016
leader_follower,C0,pv2,816,805.2138387007979,457.91138531681986,347.302453383978,43.131704485400554
leader_follower,C0,pv1,824,966.2571201040403,562.2421647769613,404.01495532707884,41.812365148065055
leader_follower,C0,pv3,828,644.1714330952352,377.837619616943,266.3338134782922,41.34517611229076
leader_follower,C0,pv4,830,837.4233100153255,492.9835994056666,344.4397106096588,41.13089598656566
leader_follower,C0,pv5,850,579.7539483892269,340.94504145712733,238.80890693209966,41.191423981777106
leader_follower,C0,pv6,832,740.7979315459216,437.5626618676665,303.2352696782551,40.93360102200255
leader_follower,C0_perda_0.05,pv2,816,805.2138384161779,457.9194341930421,347.29440422313587,43.13070487042914
leader_follower,C0_perda_0.05,pv1,824,966.2571197421491,562.2548360354276,404.0022837067215,41.81105375084135
leader_follower,C0_perda_0.05,pv3,828,644.1714328531982,377.83512594270843,266.33630691048984,41.34556320369858
leader_follower,C0_perda_0.05,pv4,830,837.423309683942,492.9906114400434,344.43269824389864,41.13005862875891
leader_follower,C0_perda_0.05,pv5,850,579.7539481851036,340.94216011831963,238.8117880667838,41.19192095446258
leader_follower,C0_perda_0.05,pv6,832,740.7979312375905,437.55686073232164,303.24107050526897,40.93438409022942
leader_follower,C0_perda_0.10,pv2,816,805.2138378518946,457.9478264928478,347.26601135904684,43.127178773462724
leader_follower,C0_perda_0.10,pv1,824,966.2571190159059,562.3344888790989,403.922630136807,41.8028102652621
leader_follower,C0_perda_0.10,pv3,828,644.1714323670781,377.8834060009766,266.2880263661014,41.33806825111711
leader_follower,C0_perda_0.10,pv4,830,837.4233090054154,493.040769116167,344.3825398892482,41.12406905633686
leader_follower,C0_perda_0.10,pv5,850,579.7539477804097,340.97686805108947,238.7770797293203,41.185934247361196
leader_follower,C0_perda_0.10,pv6,832,740.7979305889689,437.58579285412077,303.2121377348482,40.930478503602245
